lat;lon;elemnt;id;official_name;ref:CIS_JR
49.3949674;14.6894597;node;3881937634;Tábor,,Stop Shop;
49.4138662;14.6616857;node;322846866;Tábor,,U Střelnice;
49.4136543;14.6617338;node;9406108834;Tábor,,U Střelnice;
49.4148536;14.6773242;node;1775579551;Tábor,,Vodňanského;
49.4238553;14.6506883;node;299411821;Tábor,,Zimní stadion;
49.4234866;14.6506096;node;299412326;Tábor,,Zimní stadion;
49.4160822;14.6435101;node;4496749989;Tábor,Klokoty,Klášter;64938
49.4159552;14.6433139;node;10741509937;Tábor,Klokoty,Klášter;
49.4041861;14.7028732;node;672834983;Tábor,Měšice,V průhonu;
49.4039894;14.7031056;node;672834974;Tábor,Měšice,V průhonu;
49.0494902;14.0360439;node;10671859645;Těšovice,Běleč,náves;56861
49.0042807;14.7601537;node;5277617960;Třeboň,,Na Hliníku;56528
49.2294662;14.4222186;node;10735723917;Týn n.Vlt.,,Milevská ul.;58609
48.9205627;14.4523523;node;3395075952;Včelná,,Jiráskova;49672
48.9205708;14.4462421;node;3395075961;Včelná,,Točna;49673
48.9207917;14.4458312;node;3395075960;Včelná,,Točna;49673
49.0619528;13.7742799;node;9277754796;Vimperk,,nad pekárnou;
49.0841557;13.9143078;node;10691376434;Vlachovo Březí,Uhřice;56822
48.9649006;14.4238006;node;2371991030;Litvínovice,Mokré,zast.;49678
48.9649820;14.4238616;node;3403650396;Litvínovice,Mokré,zast.;49678
48.9643474;14.4273900;node;2371991027;Litvínovice,Šindlovy Dvory;19070
48.9644617;14.4272501;node;3403650397;Litvínovice,Šindlovy Dvory;19070
49.4202330;14.6778864;node;277059285;Tábor,Čekanice,V Dolinách;
49.4197933;14.6776786;node;277059284;Tábor,Čekanice,V Dolinách;
49.1876299;13.7332609;node;6710378304;Nová Ves;
49.2027652;13.7298545;node;6707914117;Strašice;
49.2027783;13.7302722;node;6707914114;Strašice;
49.2185554;13.7401964;node;7025790191;Strašice,Škůdra;33366
49.2348268;13.7466141;node;10673343693;Volenice,Ohrazenice;40059
49.2256267;13.7082761;node;7025714224;Volenice,Vojnice;40061
49.4311359;13.8738243;node;10726846950;Blatná,,žel.st.;1500
49.4306483;13.8728463;node;10689847272;Blatná,,žel.st.;1500
49.4305633;13.8726972;node;6657981018;Blatná,,žel.st.;1500
49.4309845;13.8736134;node;6657981019;Blatná,,žel.st.;1500
49.4305687;13.8730373;node;10689847275;Blatná,,žel.st.;1500
48.9740954;14.4790061;node;3394395857;České Budějovice,,Senovážné nám.-pošta;49701
48.9738008;14.4788033;node;2459981466;České Budějovice,,Senovážné nám.-pošta;49701
48.9431328;14.4664583;node;3394395881;České Budějovice,,Rožnov - točna;57397
48.9432927;14.4670221;node;3394395882;České Budějovice,,Rožnov - točna;57397
49.2510351;13.9207823;node;10719702399;Strakonice,,Podsrp-prodejna;33261
49.2510450;13.9210081;node;10719702402;Strakonice,,Podsrp-prodejna;33261
49.1801117;13.8931394;node;9595873670;Přechovice,,rozc.0.1;
49.1791516;13.8932198;node;10738197557;Přechovice,,rozc.0.1;48107
49.2086616;13.8173327;node;6707903480;Zahorčice;
49.2087518;13.8174125;node;6707913888;Zahorčice;
49.2060598;13.7752381;node;6707913964;Hoslovice,Hodějov;
49.1928713;13.7641780;node;10736739676;Hoslovice;
49.1923104;13.7620261;node;10736739675;Hoslovice;
49.3758761;13.8853315;node;6674334521;Blatná,Čekanice;
49.3758567;13.8852222;node;10736739677;Blatná,Čekanice;
49.3629475;13.8834771;node;9944479824;Lažany;17624
49.3630232;13.8836436;node;9944479825;Lažany;17624
49.4229145;13.9293907;node;6670139163;Buzice;
49.4310379;13.8837785;node;10726846966;Blatná,,poliklinika;1507
49.4310835;13.8839443;node;10726846967;Blatná,,poliklinika;1507
49.4282092;13.8825502;node;10689900263;Blatná,,Boženy Němcové;1511
49.4280466;13.8825058;node;1903067070;Blatná,,Boženy Němcové;1511
49.4278868;13.8824623;node;10689847270;Blatná,,Boženy Němcové;1511
49.4286423;13.8812656;node;3157727846;Blatná,,Palackého;1512
49.4287885;13.8811498;node;10689900262;Blatná,,Palackého;1512
49.4289208;13.8810196;node;10689847280;Blatná,,Palackého;1512
49.4214468;13.8788042;node;10726846972;Blatná,,U sladovny;1510
49.4220623;13.8770425;node;10726846973;Blatná,,U sladovny;1510
49.4175148;13.8852329;node;10689847269;Blatná,,mlékárna;1505
49.4174957;13.8855782;node;10689847273;Blatná,,mlékárna;1505
49.4071544;13.9359084;node;6688150599;Škvořetice,Pacelice;
49.4071301;13.9358456;node;6688150600;Škvořetice,Pacelice;
49.4018556;13.9471576;node;10736739689;Škvořetice;
49.4019292;13.9479687;node;6688152977;Škvořetice;
49.3802804;13.9917573;node;6688153509;Sedlice,Holušice;
49.3738136;13.9417343;node;10689847266;Sedlice,,škola;31202
49.3738226;13.9419929;node;6329597168;Sedlice,,škola;31202
49.3738365;13.9420004;node;10689847259;Sedlice,,škola;31202
49.3785210;13.9365358;node;6329597155;Sedlice,,nám.;31197
49.3783266;13.9366435;node;6329597156;Sedlice,,nám.;31197
49.3914070;13.9206333;node;10689847263;Sedlice,Němčice;31207
49.3918800;13.9203787;node;10689847256;Sedlice,Němčice;31207
49.3652760;14.0557328;node;5514480151;Předotice,,u mostu;56825
49.3653563;14.0557261;node;5514480152;Předotice,,u mostu;56825
49.2327952;13.8684350;node;6735641487;Sousedovice;
49.2328608;13.8683870;node;6735641488;Sousedovice;
49.2578427;13.9022714;node;9393616950;Strakonice,,hrad;
49.2580175;13.9023356;node;1231074253;Strakonice,,hrad;
49.2623090;13.9080394;node;9393616946;Strakonice,,Ellerova-Hvězda;
49.2624565;13.9081465;node;9393616947;Strakonice,,Ellerova-Hvězda;
49.2600532;13.9116231;node;8450702209;Strakonice,,Ellerova-MŠ;
49.2601070;13.9128978;node;8426336507;Strakonice,,Ellerova-MŠ;
49.0491897;15.0371719;node;2129935315;Číměř,Sedlo;5214
49.0609601;15.0731198;node;2446920528;Číměř;5206
49.0611244;15.0723128;node;2446920535;Číměř;5206
49.0620746;15.1037627;node;7677174852;Číměř,Dobrá Voda;5209
49.0242637;15.1010324;node;9889587826;Nová Bystřice,,hřbitov;
49.0243838;15.1011479;node;9889587825;Nová Bystřice,,hřbitov;
49.0246003;15.0504542;node;1834591855;Nová Bystřice,Nový Vojířov;23513
49.0180783;15.1126650;node;9889587823;Nová Bystřice,,Vídeňská;
49.0180190;15.1127985;node;9889587824;Nová Bystřice,,Vídeňská;
49.1119501;15.1286261;node;2422237000;Člunek;5310
49.1118429;15.1287183;node;10584365961;Člunek;5310
49.1131532;15.1567793;node;2422237167;Člunek,Lomy;5312
49.0661459;15.1584266;node;434349797;Nová Bystřice,Senotín,žel.st.;23515
49.0641424;15.1453084;node;5422880688;Nová Bystřice,Senotín;23514
49.0458541;15.1627056;node;2408841710;Nová Bystřice,Blato,rozc.0.6;23507
49.0577586;15.1693029;node;8600244838;Nová Bystřice,Klenová;23511
49.0299799;15.1400046;node;434353647;Nová Bystřice,,Osika;23502
49.0243656;15.1587736;node;2405881761;Nová Bystřice,Klášter I;23509
49.0045566;15.2390003;node;5422889448;Staré Město p.Land.,Podlesí;32984
49.0038507;15.2534373;node;688975354;Staré Město p.Land.,,nám.;58546
49.0263372;15.2302183;node;2504168557;Staré Město p.Land.,Landštejn;32983
49.0263189;15.2300766;node;5647827313;Staré Město p.Land.,Landštejn;32983
49.0282019;15.2842844;node;2359199283;Slavonice,Stálkov;32052
49.0011324;15.3512891;node;1619329861;Slavonice,,škola;32047
