lat;lon;official_name;name;ref:CIS_JR;ref;bus;public_transport;count;id;local_ref
49.4862370;14.7980570;;Dolní Hrachovice;;;yes;platform;;10690713547;1;10;10;10;10
49.4863620;14.7982020;;Dolní Hrachovice;;;yes;platform;;10690713554;2;10;10;10;10
49.4751930;14.7866420;;"""Pohnánec, u cihelny""";;;yes;platform;;10690713536;1;10;10;10;10
49.4751780;14.7867940;;"""Pohnánec, u cihelny""";;;yes;platform;;10690713540;2;10;10;10;10
49.4660338;14.7718344;;"""Ratibořské Hory, U Menšíků""";;;yes;platform;;9104785161;2;10;10
49.4445950;14.7027950;"""Tábor, Hlinice, rozc. 2.0""";"""Tábor, Hlinice, rozcestí 2.0""";;;yes;platform;;10690713530;1;10
49.4445723;14.7029064;"""Tábor, Hlinice, rozc. 2.0""";"""Tábor, Hlinice, rozcestí 2.0""";;;yes;platform;;10690713532;2;10
49.4957540;14.4857030;;"""Nadějkov, Petříkovice""";;;yes;platform;;300807318;A;10;10;10;10
49.4958570;14.4856710;;"""Nadějkov, Petříkovice""";;;yes;platform;;10690708101;B;10;10;10;10
49.4952430;14.4949500;;"""Jistebnice, Hodkov""";;;yes;platform;;74201747;B;10;10;10;10
49.4951619;14.4949354;;"""Jistebnice, Hodkov""";;;yes;platform;;10690713509;A;10;10;10;10
49.5164150;14.4858680;"""Nadějkov, Kaliště, rozc. 1.0""";"""Nadějkov, Kaliště, rozcestí 1.0""";;;yes;platform;;10690708088;B;10;10;10;10;10;10;10;10;10
49.5164720;14.4856620;"""Nadějkov, Kaliště, rozc. 1.0""";"""Nadějkov, Kaliště, rozcestí 1.0""";;;yes;platform;;10690708089;A;10;10;10
49.5223120;14.4805900;;"""Nadějkov, Kaliště""";;;yes;platform;;4453492484;A;10;10;10;10
49.5223160;14.4806660;;"""Nadějkov, Kaliště""";;;yes;platform;;10690708102;B;10;10;10;10
49.5291900;14.4797140;;"""Nadějkov, Bezděkov""";;;yes;platform;;4453492483;A;10;10;10;10
49.5291750;14.4798090;;"""Nadějkov, Bezděkov""";;;yes;platform;;10690708104;B;10;10;10;10
49.3025700;14.7216800;;Roudná;30085;;yes;platform;;9055139509;2;10;10
49.3017100;14.7206300;;Roudná;30085;;yes;platform;;9055139508;1;10;10
49.3531323;14.7027973;"""Planá n. Luž., nám.""";"""Planá nad Lužnicí, náměstí""";26750;;yes;platform;;4779029709;1;10;10;10;10
49.3532370;14.7029477;"""Planá n. Luž., nám.""";"""Planá nad Lužnicí, náměstí""";26750;;yes;platform;;9969151992;2;10;10;10;10
49.0489456;14.1958843;;"""Netolice, nám.""";;4;yes;platform;;10691369673;4;10;10;10;10
49.0494656;14.1964474;;"""Netolice, nám.""";;1;yes;platform;;10691369672;1;10;10;10;10
